run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
3,160350,1963,1963,NEW_ORDER,0,0,0
3,160379,29,29,PAYMENT,0,0,0
3,160379,0,0,DELIVERY,0,0,0
3,162893,3540,3540,DELIVERY_BG,0,0,0
3,165058,2164,2164,NEW_ORDER,0,0,0
3,165087,29,29,PAYMENT,0,0,0
3,165114,27,27,PAYMENT,0,0,0
3,167437,7058,7058,DELIVERY_BG,0,0,0
3,167458,20,20,PAYMENT,0,0,0
3,167481,22,22,PAYMENT,0,0,0
3,167993,2879,2879,NEW_ORDER,0,0,0
3,168186,193,193,ORDER_STATUS,0,0,0
3,169641,2159,2159,NEW_ORDER,0,0,0
3,169642,0,0,DELIVERY,0,0,0
3,173087,4901,4901,NEW_ORDER,0,0,0
3,174296,4654,4654,DELIVERY_BG,0,0,0
3,174938,1850,1850,NEW_ORDER,0,0,0
3,174967,29,29,PAYMENT,0,0,0
3,176597,2300,2300,NEW_ORDER,0,0,0
3,176624,26,26,PAYMENT,0,0,0
3,177894,2927,2927,NEW_ORDER,0,0,0
3,177943,1319,1319,PAYMENT,0,0,0
3,177967,24,24,PAYMENT,0,0,0
3,180718,2751,2751,NEW_ORDER,0,0,0
3,182371,1652,1652,NEW_ORDER,0,0,0
3,182397,26,26,PAYMENT,0,0,0
3,182442,4548,4548,NEW_ORDER,0,0,0
3,182442,0,0,DELIVERY,0,0,0
3,185861,3464,3464,NEW_ORDER,0,0,0
3,185892,31,31,PAYMENT,0,0,0
3,185914,21,21,PAYMENT,0,0,0
3,188097,5655,5654,DELIVERY_BG,0,0,0
3,189927,4013,4013,NEW_ORDER,0,0,0
3,192219,4122,4122,NEW_ORDER,0,0,0
3,192634,2706,2706,NEW_ORDER,0,0,0
3,192658,24,24,PAYMENT,0,0,0
3,195096,2877,2877,NEW_ORDER,0,0,0
3,195153,2494,2494,PAYMENT,0,0,0
3,197548,2452,2452,NEW_ORDER,0,0,0
3,197577,29,29,PAYMENT,0,0,0
3,197600,23,23,PAYMENT,0,0,0
3,197622,22,22,PAYMENT,0,0,0
3,197914,2761,2761,NEW_ORDER,0,0,0
3,199076,1454,1454,NEW_ORDER,0,0,0
3,199372,295,295,STOCK_LEVEL,0,0,0
3,199394,22,22,PAYMENT,0,0,0
3,199612,218,218,STOCK_LEVEL,0,0,0
3,199650,37,37,PAYMENT,0,0,0
3,201682,3768,3768,NEW_ORDER,0,0,0
3,201722,2072,2072,PAYMENT,0,0,0
3,201867,185,185,ORDER_STATUS,0,0,0
3,204774,3051,3051,NEW_ORDER,0,0,0
3,204791,2923,2923,PAYMENT,0,0,0
3,204813,22,22,PAYMENT,0,0,0
3,204843,69,69,PAYMENT,0,0,0
3,204881,67,67,PAYMENT,0,0,0
3,206616,1735,1735,NEW_ORDER,0,0,0
3,208963,4120,4120,NEW_ORDER,0,0,0
3,209009,2393,2393,PAYMENT,0,0,0
3,211489,2526,2526,NEW_ORDER,0,0,0
3,211714,224,224,ORDER_STATUS,0,0,0
3,211732,18,18,PAYMENT,0,0,0
3,212597,3588,3588,NEW_ORDER,0,0,0
3,212625,27,27,PAYMENT,0,0,0
3,212649,917,917,PAYMENT,0,0,0
3,214128,1503,1503,NEW_ORDER,0,0,0
3,214980,2331,2331,NEW_ORDER,1,0,0
3,217770,2790,2790,NEW_ORDER,0,0,0
3,217791,21,21,PAYMENT,0,0,0
3,219167,5039,5039,NEW_ORDER,0,0,0
3,219195,28,28,PAYMENT,0,0,0
3,220873,3082,3082,NEW_ORDER,0,0,0
3,220895,1700,1700,PAYMENT,0,0,0
3,220952,79,79,PAYMENT,0,0,0
3,220979,27,27,PAYMENT,0,0,0
3,221004,25,25,PAYMENT,0,0,0
3,222324,1428,1428,NEW_ORDER,0,0,0
3,222367,42,42,PAYMENT,0,0,0
3,222393,26,26,PAYMENT,0,0,0
3,222422,29,29,PAYMENT,0,0,0
3,222446,24,24,PAYMENT,0,0,0
3,222720,1716,1716,NEW_ORDER,0,0,0
3,224780,2334,2334,NEW_ORDER,0,0,0
3,226053,3332,3332,NEW_ORDER,0,0,0
3,226079,1299,1299,PAYMENT,0,0,0
3,226104,25,25,PAYMENT,0,0,0
3,226350,245,245,STOCK_LEVEL,0,0,0
3,226350,0,0,DELIVERY,0,0,0
3,229360,3306,3306,NEW_ORDER,0,0,0
3,231001,4651,4651,DELIVERY_BG,0,0,0
3,232202,2842,2842,NEW_ORDER,0,0,0
3,233807,2806,2806,NEW_ORDER,0,0,0
3,233833,25,25,PAYMENT,0,0,0
3,234864,2661,2661,NEW_ORDER,0,0,0
3,234888,24,24,PAYMENT,0,0,0
3,234928,1095,1095,PAYMENT,0,0,0
3,236817,1888,1888,NEW_ORDER,0,0,0
3,236838,20,20,PAYMENT,0,0,0
3,238818,3930,3930,NEW_ORDER,0,0,0
3,238841,22,22,PAYMENT,0,0,0
3,239788,2949,2949,NEW_ORDER,0,0,0
3,239828,40,40,PAYMENT,0,0,0
3,239855,27,27,PAYMENT,0,0,0
3,239904,48,48,PAYMENT,0,0,0
3,239931,27,27,PAYMENT,0,0,0
3,242134,2203,2203,NEW_ORDER,0,0,0
3,242159,25,25,PAYMENT,0,0,0
3,243757,4915,4915,NEW_ORDER,0,0,0
3,243778,21,21,PAYMENT,0,0,0
3,243812,1652,1652,PAYMENT,0,0,0
3,246700,2922,2922,NEW_ORDER,0,0,0
3,247455,3643,3643,NEW_ORDER,0,0,0
3,248025,1325,1325,NEW_ORDER,0,0,0
3,248025,0,0,DELIVERY,0,0,0
3,248063,608,608,PAYMENT,0,0,0
3,251787,3724,3724,NEW_ORDER,0,0,0
3,252020,3995,3995,DELIVERY_BG,0,0,0
3,252051,30,30,PAYMENT,0,0,0
3,255002,2951,2951,NEW_ORDER,0,0,0
3,255338,3551,3551,NEW_ORDER,0,0,0
3,255373,34,34,PAYMENT,0,0,0
3,257968,2595,2595,NEW_ORDER,0,0,0
3,258000,32,32,PAYMENT,0,0,0
3,259683,4680,4680,NEW_ORDER,0,0,0
3,262243,4243,4243,NEW_ORDER,0,0,0
3,262271,28,28,PAYMENT,0,0,0
3,262296,25,25,PAYMENT,0,0,0
3,262321,24,24,PAYMENT,0,0,0
3,263358,3675,3675,NEW_ORDER,0,0,0
3,263407,1086,1086,PAYMENT,0,0,0
3,263462,55,55,PAYMENT,0,0,0
3,267449,3987,3987,NEW_ORDER,0,0,0
3,267481,31,31,PAYMENT,0,0,0
3,267511,30,30,PAYMENT,0,0,0
3,267843,4485,4485,NEW_ORDER,0,0,0
3,267869,26,26,PAYMENT,0,0,0
3,269582,1713,1713,NEW_ORDER,0,0,0
3,270132,2621,2621,NEW_ORDER,0,0,0
3,272763,3181,3181,NEW_ORDER,0,0,0
3,272784,20,20,PAYMENT,0,0,0
3,275087,4955,4955,NEW_ORDER,0,0,0
3,276883,4098,4098,NEW_ORDER,1,0,0
3,276909,26,26,PAYMENT,0,0,0
3,278904,3817,3817,NEW_ORDER,0,0,0
3,278905,0,0,DELIVERY,0,0,0
3,282887,5978,5978,NEW_ORDER,0,0,0
3,283081,4176,4176,DELIVERY_BG,0,0,0
3,283106,25,25,PAYMENT,0,0,0
3,283131,25,25,PAYMENT,0,0,0
3,283154,22,22,PAYMENT,0,0,0
3,283175,21,21,PAYMENT,0,0,0
3,283193,18,18,PAYMENT,0,0,0
3,286258,3065,3065,NEW_ORDER,0,0,0
3,287628,4740,4740,NEW_ORDER,0,0,0
3,287656,27,27,PAYMENT,0,0,0
3,287682,26,26,PAYMENT,0,0,0
3,288310,2052,2052,NEW_ORDER,0,0,0
3,289894,1584,1584,NEW_ORDER,0,0,0
3,292925,3031,3031,NEW_ORDER,0,0,0
3,292925,0,0,DELIVERY,0,0,0
3,293623,5941,5941,NEW_ORDER,0,0,0
3,293666,43,43,PAYMENT,0,0,0
3,297046,4121,4121,DELIVERY_BG,0,0,0
3,297063,17,17,PAYMENT,0,0,0
3,297253,3587,3587,NEW_ORDER,0,0,0
3,300831,3767,3767,NEW_ORDER,0,0,0
3,300853,22,22,PAYMENT,0,0,0
3,300914,3661,3661,PAYMENT,0,0,0
3,300940,26,26,PAYMENT,0,0,0
3,301138,198,198,ORDER_STATUS,0,0,0
3,302581,1442,1442,NEW_ORDER,0,0,0
3,302613,32,32,PAYMENT,0,0,0
3,304083,3230,3230,NEW_ORDER,0,0,0
3,304106,23,23,PAYMENT,0,0,0
3,304137,31,31,PAYMENT,0,0,0
3,307811,5198,5198,NEW_ORDER,0,0,0
3,309590,5452,5452,NEW_ORDER,0,0,0
3,309614,23,23,PAYMENT,0,0,0
3,309629,1818,1818,NEW_ORDER,0,0,0
3,309671,56,56,PAYMENT,0,0,0
3,311593,1964,1964,NEW_ORDER,0,0,0
3,311617,24,24,PAYMENT,0,0,0
3,311645,28,28,PAYMENT,0,0,0
3,314761,3116,3116,NEW_ORDER,0,0,0
3,314783,22,22,PAYMENT,0,0,0
3,315352,5681,5681,NEW_ORDER,0,0,0
3,315380,28,28,PAYMENT,0,0,0
3,315410,29,29,PAYMENT,0,0,0
3,315454,44,44,PAYMENT,0,0,0
3,315511,57,57,PAYMENT,0,0,0
3,315511,0,0,DELIVERY,0,0,0
3,318992,4209,4209,NEW_ORDER,0,0,0
3,319725,4214,4214,DELIVERY_BG,0,0,0
3,322595,3602,3602,NEW_ORDER,0,0,0
3,323912,4187,4187,NEW_ORDER,0,0,0
3,325612,3017,3017,NEW_ORDER,0,0,0
3,325632,19,19,PAYMENT,0,0,0
3,325666,1754,1754,PAYMENT,0,0,0
3,330036,4370,4370,NEW_ORDER,0,0,0
3,330195,4562,4562,NEW_ORDER,0,0,0
3,330221,26,26,PAYMENT,0,0,0
3,330273,52,52,PAYMENT,0,0,0
3,332465,2192,2192,NEW_ORDER,0,0,0
3,332465,0,0,DELIVERY,0,0,0
3,334572,4535,4535,NEW_ORDER,0,0,0
3,336531,4066,4066,DELIVERY_BG,0,0,0
